id,nombre,apellido,edad,Genero,promedio_estadistica,promedio_matematica,promedio_programacion,promedio_bigdata,promedio_ofimatica,faltas_estadistica,faltas_matematica,faltas_programacion,faltas_bigdata,faltas_ofimatica,estilo_aprendizaje,metodos_estudio,horas_diarias_estudio,participacion_clases,acceso_recursos_tecnologicos,acceso_internet,motivacion_carrera,objetivos_academicos,estres,satisfaccion_ensenanza,actitud_hacia_tecnologia
153,Fayina,Clew,38,Female,0.07,3.2,7.16,1.51,8.31,0.82,0.37,0.7,0.66,0.51,kinestésico,autoevaluación y pruebas prácticas,0,false,false,true,true,true,false,false,true
154,Thelma,Cass,29,Female,4.06,4.48,2.86,4.68,3.68,0.14,0.24,0.6,0.2,0.23,auditivo,grupos de estudio,5,false,false,false,false,true,false,false,true
155,Les,Conisbee,25,Male,5.93,0.04,2.69,8.31,8.51,0.08,0.04,0.8,0.35,0.17,visual,técnica Pomodoro,3,true,false,false,false,false,true,false,true
156,Enrique,Cossans,29,Male,4.2,0.32,7.35,9.11,7.22,0.97,0.51,0.09,0.08,0.77,kinestésico,resúmenes,1,false,false,true,true,false,true,true,false
157,Bart,Pakenham,22,Male,8.33,7.84,4.79,1.73,7.33,0.6,0.73,0.36,0.24,0.23,auditivo,flashcards,3,false,false,false,true,false,false,true,false
158,Rutherford,Izaac,22,Male,4.95,0.7,3.03,3.89,4.11,0.39,0.18,0.11,0.01,0.22,visual,técnica Pomodoro,5,false,false,false,false,true,true,false,true
159,Kriste,Bartusek,40,Female,9.16,0.36,9.76,8.74,4.07,0.43,0.24,0.68,0.65,0.62,kinestésico,lectura activa,6,false,true,true,true,true,true,true,true
160,Feodora,Tother,27,Female,4.54,4.04,5.73,5.16,6.35,0.92,0.64,0.92,0.93,0.94,auditivo,técnica Pomodoro,8,false,false,false,true,true,true,false,true
161,Gretel,Daymont,40,Female,9.61,8.12,9.08,8.38,3.02,0.1,0.85,0.41,0.93,0.73,otro,autoevaluación y pruebas prácticas,5,false,false,false,false,false,true,false,false
162,Golda,Crutch,32,Female,8.92,6.5,7.13,5.91,4.84,0.86,0.24,0.33,0.38,0.28,otro,lectura activa,5,false,false,false,true,true,true,false,true
163,Gilberta,Dankov,26,Female,0.49,2.29,6.91,8.53,7.26,0.25,0.69,0.51,0.65,0.08,auditivo,mapas mentales,3,true,true,true,false,false,true,true,false
164,Britt,Mc Queen,18,Male,2.24,1.44,2.38,2.46,1.86,0.08,0.31,0.08,0.6,0.85,kinestésico,grupos de estudio,4,false,false,true,false,true,false,false,false
165,Norma,Roussell,18,Female,8.16,0.61,6.64,9.12,2.78,0.4,0.82,0.61,0.44,0.52,Lectura/Escritura,autoevaluación y pruebas prácticas,1,true,false,true,true,true,true,true,false
166,Berton,Greetland,19,Male,0.17,9.59,7.4,7.52,7.35,0.71,0.76,0.75,0.93,0.0,visual,autoevaluación y pruebas prácticas,7,false,true,true,true,false,true,true,true
167,Hobey,Father,25,Male,9.11,4.26,9.59,8.28,6.17,0.73,0.47,0.06,0.72,0.02,kinestésico,uso de tecnología,3,true,true,true,true,false,true,false,true
168,Lynnett,Durrett,40,Female,9.89,1.47,7.07,6.8,6.3,0.01,0.31,0.89,0.13,0.95,otro,uso de tecnología,1,false,false,true,false,false,false,false,false
169,Ransom,Piesold,25,Male,8.94,5.34,0.14,5.65,4.18,0.56,0.73,0.39,0.21,0.03,visual,autoevaluación y pruebas prácticas,4,false,false,true,false,false,true,true,true
170,Flem,Matussow,36,Male,2.66,6.85,3.57,3.3,0.82,0.92,0.05,0.64,0.15,0.02,kinestésico,uso de tecnología,2,true,true,true,false,true,true,false,false
171,Marabel,Limbrick,20,Female,0.33,0.02,4.19,0.78,3.49,0.93,0.49,0.02,0.94,0.36,Multimodal,otro,8,false,true,false,true,true,true,false,false
172,Jerrome,Kubera,33,Male,9.0,0.32,8.71,2.88,9.88,0.01,0.24,0.34,0.33,0.95,visual,técnica Pomodoro,8,true,true,true,true,true,false,true,false
173,Murry,MacElholm,29,Male,8.83,3.47,4.74,1.06,2.7,0.71,0.84,0.77,0.94,0.9,Multimodal,enseñanza a otros,7,true,false,false,false,false,false,true,false
174,Mort,Kittle,24,Male,6.28,3.15,7.81,5.15,4.19,0.65,0.77,0.16,0.56,0.91,visual,enseñanza a otros,2,true,true,false,false,true,true,true,false
175,Britni,Mound,36,Female,8.27,5.74,7.7,5.02,8.86,0.06,0.01,0.65,0.77,0.04,otro,Toma de apuntes,5,false,true,false,false,false,true,false,true
176,Simona,Wibrew,19,Female,1.11,8.04,4.89,0.54,3.49,0.1,0.14,1.0,0.98,0.74,Multimodal,uso de tecnología,3,false,true,true,false,true,true,true,true
177,Aurelea,Cardall,35,Female,4.43,7.05,6.46,6.73,4.6,0.8,0.6,0.04,0.27,0.41,kinestésico,uso de tecnología,6,false,true,false,true,true,true,false,false
178,Gwynne,Battisson,18,Female,3.16,7.46,7.1,4.61,7.81,0.7,0.21,0.66,0.34,0.06,Lectura/Escritura,mapas mentales,0,true,false,false,false,true,true,true,true
179,Pierson,Harbor,23,Male,1.86,1.0,4.03,9.18,1.39,0.34,0.61,0.67,0.99,0.32,Multimodal,enseñanza a otros,4,true,false,true,true,true,false,true,false
180,Rube,Willcocks,26,Male,4.84,3.79,1.76,6.82,9.24,0.84,0.94,0.79,0.1,0.27,kinestésico,mapas mentales,6,true,true,true,true,true,true,true,false
181,Dulcie,Clewlow,36,Female,3.51,6.98,8.82,8.22,6.76,0.02,0.61,0.26,0.36,0.54,Multimodal,autoevaluación y pruebas prácticas,8,false,true,true,false,false,true,true,false
182,Prue,Malkinson,34,Female,5.37,2.45,2.4,9.19,6.34,0.68,0.43,0.07,0.32,0.37,visual,enseñanza a otros,6,false,true,false,false,false,true,true,false
183,Clovis,Luquet,26,Female,9.98,2.44,8.7,9.66,3.47,0.35,0.79,0.61,0.17,0.72,otro,lectura activa,3,true,true,true,true,false,false,false,false
184,Agnola,Eagland,26,Female,6.44,7.35,1.35,6.02,3.52,0.44,0.1,0.57,0.74,0.82,auditivo,enseñanza a otros,2,true,false,false,false,true,false,false,true
185,Umeko,Meo,21,Female,7.12,2.87,4.1,8.32,2.55,0.27,0.28,0.41,0.06,0.97,Multimodal,autoevaluación y pruebas prácticas,5,true,true,false,false,false,false,false,true
186,Thorndike,Redwall,38,Male,9.84,6.9,0.37,8.16,8.08,0.25,0.58,0.04,0.09,0.6,kinestésico,resúmenes,6,true,false,false,true,false,false,true,false
187,Alis,Spurret,24,Female,2.37,3.57,8.42,1.91,1.78,0.63,0.24,0.32,0.48,0.78,Multimodal,uso de tecnología,0,false,false,false,false,false,false,true,true
188,Penn,How to preserve,32,Male,3.05,8.59,1.38,3.69,2.69,0.41,0.4,0.63,0.63,0.5,Lectura/Escritura,autoevaluación y pruebas prácticas,6,true,true,false,true,true,true,true,true
189,Woodrow,Alker,33,Male,3.61,1.62,7.65,9.81,9.45,0.67,0.13,0.46,0.26,0.16,Lectura/Escritura,uso de tecnología,2,true,true,false,false,false,false,true,false
190,Cozmo,Vasiltsov,32,Male,6.49,0.55,3.35,9.91,5.09,0.11,0.35,0.6,0.48,0.97,Multimodal,resúmenes,1,false,true,true,true,false,false,true,true
191,Pall,Cotesford,38,Male,7.54,0.17,5.63,2.63,8.22,0.12,0.66,0.97,0.01,0.42,visual,grupos de estudio,8,false,true,true,true,false,false,true,false
192,Linn,Levee,21,Male,4.93,1.23,1.87,8.97,2.27,0.03,0.51,0.7,0.16,0.42,otro,grupos de estudio,0,false,false,false,false,false,true,false,false
193,Aurora,Feasley,33,Female,2.32,1.46,7.35,3.55,0.94,0.87,0.44,0.24,0.83,0.49,kinestésico,mapas mentales,7,false,true,false,true,false,false,true,true
194,Noel,Hecks,26,Female,9.33,8.32,7.73,5.77,1.0,0.7,0.15,0.67,0.79,0.63,Lectura/Escritura,flashcards,8,false,true,false,false,false,true,false,true
195,Welch,Goode,19,Male,7.4,5.66,9.27,5.06,6.83,0.44,0.06,0.0,0.82,0.14,kinestésico,autoevaluación y pruebas prácticas,3,true,true,true,false,false,true,true,true
196,Nicolais,Welfair,33,Male,2.21,8.16,1.76,9.57,1.58,0.89,0.15,0.32,0.79,0.75,auditivo,lectura activa,7,false,false,false,false,true,true,true,true
197,Olwen,Fetherston,27,Female,4.82,5.62,5.83,6.56,5.2,0.26,0.31,0.58,0.03,0.33,otro,Toma de apuntes,7,false,false,false,false,true,true,true,false
198,Yalonda,Geratasch,36,Female,5.96,8.93,6.41,2.5,5.62,0.29,0.46,0.79,0.49,0.47,kinestésico,flashcards,1,false,false,false,false,false,true,true,true
199,Marcelline,Poynzer,24,Female,8.44,6.88,5.38,9.03,7.28,0.97,0.13,0.66,0.61,0.35,otro,grupos de estudio,6,true,true,false,true,false,true,true,true
200,Concordia,Menchenton,28,Female,2.19,3.82,2.46,6.11,8.78,0.48,0.71,0.1,0.93,0.16,otro,Toma de apuntes,1,false,false,false,true,true,true,true,true
201,Ferne,Charman,26,Female,0.24,4.58,6.93,4.98,1.18,0.39,0.57,0.45,0.67,0.99,auditivo,otro,6,true,false,true,true,true,false,true,false
202,Gayla,Samet,25,Female,1.57,6.06,5.6,7.79,9.37,0.8,0.58,0.03,0.58,0.94,Multimodal,mapas mentales,7,false,true,false,true,true,true,false,true
203,Royall,Andrioli,22,Male,6.0,8.98,9.52,5.14,0.85,0.76,0.55,0.37,0.4,0.61,kinestésico,flashcards,0,false,true,false,false,false,false,true,false
204,Laurene,Broke,30,Female,4.03,8.7,5.29,0.68,7.66,0.66,0.43,0.35,0.89,0.2,Lectura/Escritura,resúmenes,8,false,false,true,true,true,true,false,true
205,Sherline,McLane,31,Female,3.25,4.17,6.85,8.96,7.88,0.19,0.81,0.5,0.89,0.67,Lectura/Escritura,resúmenes,5,true,false,true,false,true,false,true,false
206,Earvin,Girone,26,Male,9.25,1.62,1.17,7.39,0.14,0.55,0.8,0.05,0.65,0.75,kinestésico,lectura activa,7,true,false,true,true,true,true,true,false
207,Pavlov,Stevings,33,Male,3.57,1.43,4.49,0.09,0.46,0.53,0.43,0.33,0.83,0.85,visual,flashcards,7,false,false,true,false,true,false,true,false
208,Ailene,Fearnside,28,Female,9.91,9.46,2.72,6.24,5.37,0.89,0.46,0.9,0.92,0.22,visual,grupos de estudio,2,true,true,true,false,false,true,false,true
209,Cecilla,Kliemke,25,Female,5.77,3.68,7.31,9.36,4.23,0.15,0.55,0.29,0.1,0.92,Lectura/Escritura,uso de tecnología,6,false,false,true,false,false,false,false,true
210,Daria,Stubbington,29,Female,3.51,8.56,7.52,2.14,4.64,0.9,0.36,0.72,0.16,0.15,auditivo,flashcards,5,false,false,true,false,true,false,false,true
211,Englebert,Brine,37,Male,6.46,7.38,7.37,6.7,9.02,0.3,0.03,0.48,0.85,0.24,Lectura/Escritura,grupos de estudio,8,true,true,false,true,true,false,true,true
212,Murdock,Kitchener,29,Male,1.05,3.68,4.91,6.49,0.5,0.86,0.15,0.98,0.72,0.58,auditivo,técnica Pomodoro,3,false,false,true,true,false,false,false,true
213,Petronella,Wickersley,38,Female,4.44,2.83,3.58,0.51,1.39,0.86,0.4,0.55,0.99,0.79,Multimodal,otro,1,true,false,true,false,false,true,true,false
214,Lilyan,Bottoms,19,Female,4.84,7.51,9.45,8.79,0.77,0.65,0.94,0.42,0.52,0.75,otro,Toma de apuntes,2,true,false,true,false,true,true,false,false
215,Whit,Ledgeway,20,Male,7.67,3.74,2.76,3.18,8.56,0.7,0.09,0.55,0.13,0.53,visual,técnica Pomodoro,3,false,true,false,true,true,false,true,false
216,Banky,Breeds,33,Male,5.06,5.32,3.67,7.06,8.92,0.26,0.44,0.29,0.15,0.76,visual,técnica Pomodoro,0,true,false,true,true,false,false,false,true
217,Corty,Berni,29,Male,0.68,6.01,4.86,3.01,3.71,0.89,0.05,0.34,0.07,0.57,kinestésico,Toma de apuntes,7,false,false,true,true,true,true,true,false
218,Aline,Michelmore,38,Female,7.78,8.22,9.36,3.52,1.36,0.97,0.62,0.29,0.91,0.87,otro,lectura activa,5,false,true,false,true,true,true,false,false
219,Damiano,Gyorgy,29,Male,4.07,5.68,6.97,0.79,8.0,0.1,0.16,0.52,0.08,0.17,auditivo,mapas mentales,4,false,true,true,false,true,false,true,true
220,Billie,Whiteway,32,Female,6.49,7.87,5.56,9.73,3.64,0.11,0.68,0.08,0.8,0.14,auditivo,otro,0,true,true,true,false,false,false,true,true
221,Mickie,Launder,39,Male,3.41,6.84,2.99,5.07,7.06,0.77,0.52,0.98,0.96,0.86,visual,mapas mentales,4,false,true,true,true,true,true,false,false
222,Isaac,Chatwin,24,Male,7.02,7.59,1.35,0.91,0.97,0.25,0.86,0.91,0.66,0.38,Lectura/Escritura,mapas mentales,2,true,true,true,false,false,false,false,false
223,Kenyon,Robke,38,Male,1.88,2.2,1.97,4.33,7.2,0.62,0.85,0.4,0.56,0.42,visual,enseñanza a otros,1,true,true,false,false,true,false,true,true
224,Tiphanie,Karczinski,38,Female,2.15,2.96,9.96,9.42,7.43,0.56,0.65,0.76,0.62,0.87,kinestésico,mapas mentales,8,true,false,false,true,true,true,true,false
225,Blondelle,Syred,34,Female,5.24,6.18,5.92,0.8,8.02,0.2,0.48,0.12,0.19,0.01,auditivo,otro,4,true,true,false,true,false,true,false,false
226,Florencia,Tedder,24,Female,7.89,4.49,6.59,8.0,2.98,0.48,0.91,0.25,0.6,0.39,kinestésico,resúmenes,2,false,false,true,false,false,true,true,true
227,Rodolph,Potticary,27,Male,8.56,5.44,6.62,6.19,5.01,0.11,0.13,0.78,0.57,0.21,auditivo,flashcards,5,false,false,false,false,true,true,true,false
228,Denyse,Keady,19,Female,2.27,7.58,9.67,3.5,0.1,0.23,0.56,0.92,0.08,0.57,Multimodal,uso de tecnología,0,true,true,true,false,true,true,false,false
229,Jae,Sywell,23,Male,1.75,8.04,2.66,4.01,7.93,0.74,0.24,0.27,0.61,0.8,kinestésico,técnica Pomodoro,2,false,true,true,true,true,true,false,true
230,Art,Hindge,32,Male,8.13,9.42,8.59,3.7,4.84,0.31,0.11,0.01,0.42,0.18,Multimodal,enseñanza a otros,7,false,true,true,true,false,true,true,true
231,Bartolemo,Blew,29,Male,4.97,6.8,0.1,9.71,0.57,0.94,0.45,0.44,0.32,0.63,auditivo,enseñanza a otros,8,false,false,true,false,false,false,false,false
232,Evaleen,Chatell,39,Female,4.5,5.01,1.62,8.59,9.2,0.05,0.69,0.41,0.34,0.72,Multimodal,enseñanza a otros,8,true,false,true,false,true,true,true,true
233,Lucina,Krabbe,38,Female,7.42,3.9,6.54,3.37,8.69,0.69,0.77,0.8,0.83,0.23,kinestésico,uso de tecnología,8,true,false,false,true,false,false,true,true
234,Abey,MacCafferky,36,Male,9.2,5.08,2.23,7.38,7.94,0.88,0.19,0.84,0.59,0.05,visual,resúmenes,5,false,true,true,true,false,false,true,false
235,Walliw,Kenealy,22,Female,3.17,7.05,4.55,1.95,7.17,0.24,0.27,0.62,0.38,0.96,visual,flashcards,1,true,false,false,true,true,true,false,false
236,Esteban,Reaper,21,Male,7.08,1.99,4.67,8.38,1.07,0.02,0.12,0.54,0.14,0.81,otro,enseñanza a otros,2,false,false,false,false,true,false,true,true
237,Erek,McTague,26,Male,1.92,7.17,8.59,2.94,3.09,0.37,0.22,0.2,0.31,0.38,visual,técnica Pomodoro,4,false,true,false,false,false,false,true,true
238,Flory,Lampett,25,Male,9.79,2.77,5.92,3.57,9.32,1.0,0.33,0.14,0.57,0.94,auditivo,flashcards,1,false,true,true,true,true,false,false,false
239,Kathy,Toplin,40,Female,2.05,2.8,4.71,2.46,9.25,0.8,0.45,0.63,0.68,0.13,visual,resúmenes,3,false,false,true,false,false,true,false,true
240,Alexandr,Tesauro,38,Male,4.13,6.5,4.8,3.75,6.86,0.66,0.87,0.75,0.0,0.12,otro,grupos de estudio,5,true,false,false,true,false,true,true,true
241,Nicolea,Whetson,25,Female,5.42,8.55,4.05,8.06,3.4,0.03,0.44,0.93,0.42,0.99,kinestésico,técnica Pomodoro,1,false,false,false,false,true,false,false,true
242,Barrie,Quinion,29,Male,2.68,1.58,4.61,2.48,8.9,0.6,0.1,0.1,0.28,0.31,otro,otro,0,false,false,true,true,true,true,false,false
243,Gregory,Itzkovwich,34,Male,1.27,8.89,1.11,9.97,6.56,0.07,0.62,0.97,0.55,0.15,auditivo,Toma de apuntes,7,true,true,false,true,true,true,false,false
244,Olin,Wannes,32,Male,2.86,9.54,1.43,1.7,9.19,0.96,0.16,0.3,0.7,0.9,kinestésico,técnica Pomodoro,7,true,false,true,true,true,false,false,true
245,Alejandrina,Oret,27,Female,6.87,8.17,1.59,1.82,9.85,0.46,0.94,0.72,0.58,0.87,Lectura/Escritura,resúmenes,2,false,true,false,true,false,false,false,true
246,Berti,Staunton,38,Male,9.32,2.57,0.65,7.98,2.3,0.62,0.22,0.71,0.59,0.93,auditivo,resúmenes,4,false,true,false,false,true,false,false,true
247,Tabbatha,Kendle,33,Female,2.46,9.48,7.75,0.52,1.38,0.4,0.39,0.19,0.22,0.77,Multimodal,técnica Pomodoro,2,true,false,false,true,false,false,true,true
248,Kelci,MacNamee,18,Female,9.06,7.17,0.68,7.2,3.13,0.76,0.82,0.83,0.78,0.96,Multimodal,uso de tecnología,4,false,false,true,true,false,true,true,false
249,Lek,Saulter,34,Male,7.01,6.59,1.32,8.01,3.44,0.3,0.31,0.51,0.19,0.7,visual,uso de tecnología,5,false,true,true,true,false,false,false,true
250,Gratiana,Pyrah,36,Female,0.85,2.01,1.83,5.05,3.76,0.08,0.17,0.55,0.67,0.25,otro,autoevaluación y pruebas prácticas,2,false,true,false,false,false,false,false,false
251,Andrus,Swaine,30,Male,0.17,3.98,7.73,6.83,5.76,0.79,0.05,0.22,0.06,0.76,visual,lectura activa,6,false,false,false,true,true,false,true,false
252,Calvin,Goldwater,20,Male,4.02,9.22,1.64,8.06,1.69,0.46,0.69,0.61,0.42,0.77,otro,flashcards,5,true,true,false,false,false,false,false,false
253,Betti,Southwood,24,Female,1.92,2.25,7.05,5.54,1.26,0.82,0.23,0.1,0.19,0.08,Lectura/Escritura,otro,7,true,true,false,true,true,true,false,true
254,Friederike,Gozzard,30,Female,3.23,9.41,5.23,4.14,5.67,0.16,0.12,0.25,0.03,0.34,otro,técnica Pomodoro,8,false,true,true,true,false,false,true,true
255,Dallis,Matonin,39,Male,2.48,4.39,4.27,4.78,5.36,0.42,0.01,0.23,0.69,0.44,visual,autoevaluación y pruebas prácticas,4,true,true,false,false,true,true,true,true
256,Jules,Bowdery,18,Male,6.1,2.65,3.58,1.89,7.83,0.24,0.92,0.79,0.21,0.83,otro,mapas mentales,0,true,true,true,false,true,true,false,true
257,Krystal,Maggs,37,Female,7.17,0.99,0.71,6.78,0.79,0.42,0.88,0.04,0.44,0.67,auditivo,autoevaluación y pruebas prácticas,1,false,false,false,false,false,true,true,true
258,Taite,Provis,31,Male,9.58,5.4,1.0,2.01,0.51,0.3,0.15,0.21,0.38,0.71,visual,otro,7,true,false,false,false,true,false,false,false
259,Ramonda,Lawrie,27,Female,3.42,9.38,0.95,6.49,5.97,0.93,0.11,0.05,0.32,0.5,visual,mapas mentales,4,false,true,true,false,true,false,false,true
260,Aryn,Gregoli,27,Female,9.0,6.97,2.76,9.52,6.43,0.41,0.35,0.32,0.54,0.51,visual,otro,8,false,false,false,true,false,false,false,false
261,Virgilio,Harome,23,Male,2.01,6.63,6.48,3.92,4.56,0.96,0.18,0.77,0.73,0.24,Multimodal,Toma de apuntes,3,false,false,true,false,true,false,false,true
262,Brigitta,Shreenan,33,Female,5.56,2.47,3.84,2.68,2.14,0.32,0.62,0.28,0.63,0.15,kinestésico,técnica Pomodoro,7,false,true,true,true,true,true,false,false
263,Berti,Kemball,31,Male,1.38,3.64,6.37,5.98,7.2,0.2,0.45,0.71,0.02,0.95,Multimodal,Toma de apuntes,7,false,true,false,false,true,false,true,true
264,Odilia,Siuda,21,Female,3.83,2.23,7.56,7.87,7.88,0.56,0.31,0.5,0.23,0.02,Multimodal,flashcards,1,false,false,true,true,false,true,false,false
265,Mose,Sewards,38,Male,4.11,9.76,4.36,8.81,5.21,0.4,0.12,0.56,0.29,0.13,otro,autoevaluación y pruebas prácticas,7,true,false,true,true,true,false,true,false
266,Valry,Trudgian,40,Female,0.38,3.35,8.8,0.15,7.69,0.15,0.89,0.43,0.06,0.13,Multimodal,autoevaluación y pruebas prácticas,2,false,true,true,true,false,false,true,true
267,Gabbi,Penton,38,Female,4.19,6.79,6.6,5.63,3.92,0.08,0.5,0.17,0.1,0.12,otro,Toma de apuntes,5,true,false,true,false,true,true,true,false
268,Cordelie,Burghill,32,Female,8.54,0.57,6.68,2.67,9.12,0.18,0.76,0.27,0.41,0.11,auditivo,Toma de apuntes,2,true,false,false,true,true,true,true,false
269,Lauren,Lofty,33,Male,10.0,0.26,4.19,9.6,3.51,0.21,0.53,0.61,0.26,0.65,auditivo,enseñanza a otros,7,false,false,false,false,true,false,false,false
270,Asa,Hambrick,33,Male,5.87,9.33,6.49,2.74,5.88,0.45,0.93,0.36,0.08,0.16,auditivo,resúmenes,5,false,true,false,true,true,false,false,false
271,Irwin,McClean,28,Male,1.78,9.21,8.39,5.9,9.07,0.79,0.42,0.19,0.82,0.64,auditivo,lectura activa,4,false,true,true,true,true,false,false,false
272,Doralyn,Maysor,26,Female,1.02,3.13,1.69,0.97,5.94,1.0,0.8,0.51,0.42,0.31,auditivo,autoevaluación y pruebas prácticas,7,true,false,true,true,false,true,false,true
273,Pavla,Guymer,30,Female,7.94,5.01,6.16,4.72,3.19,0.96,0.65,0.71,0.45,0.61,visual,grupos de estudio,8,true,false,false,true,false,false,false,true
274,Boone,Lavarack,38,Male,6.05,0.97,6.31,0.53,3.76,0.08,0.22,0.45,0.71,0.59,visual,mapas mentales,3,false,false,true,false,true,false,false,false
275,Ivor,Fasham,36,Male,2.11,0.16,9.07,0.76,5.71,0.27,0.31,0.07,0.99,0.48,Lectura/Escritura,otro,8,false,true,true,false,false,false,true,false
276,Allyson,Staterfield,27,Female,7.54,9.21,8.24,6.3,7.76,0.71,0.86,0.81,0.46,0.55,Lectura/Escritura,grupos de estudio,7,true,false,true,true,true,false,false,false
277,Cletus,Hammerman,24,Male,2.09,2.36,9.44,7.3,4.45,0.95,0.64,0.75,0.94,0.89,otro,otro,4,true,false,true,true,false,true,false,true
278,Sephira,Pidwell,22,Female,1.58,1.8,9.42,0.98,0.32,0.48,0.18,0.61,0.49,0.74,Multimodal,grupos de estudio,7,true,false,false,true,true,false,true,false
279,Howard,Midlane,34,Male,7.2,2.58,5.9,2.3,7.14,0.59,0.58,0.69,0.76,0.8,auditivo,Toma de apuntes,3,true,false,false,true,false,false,true,true
280,Kaiser,McCluskey,40,Male,8.8,1.18,8.66,3.8,2.52,0.93,0.37,0.18,0.38,0.84,kinestésico,grupos de estudio,2,true,true,true,false,false,true,false,true
281,Judas,Adkins,20,Male,8.11,2.75,1.39,6.97,8.38,0.08,0.94,0.12,0.1,0.38,auditivo,resúmenes,4,false,true,false,true,true,true,false,true
282,Minerva,Wealleans,31,Female,5.31,9.17,1.4,9.71,8.77,0.89,0.21,0.85,0.07,0.04,otro,enseñanza a otros,0,false,false,true,false,true,true,false,false
283,Caddric,Kissock,32,Male,0.08,9.76,2.38,9.19,8.68,0.1,0.19,0.53,0.49,0.4,otro,técnica Pomodoro,4,false,false,true,true,false,true,true,false
284,Cassius,Collicott,37,Male,8.54,4.29,5.9,9.42,7.96,0.43,0.79,0.42,0.17,0.97,auditivo,uso de tecnología,0,false,false,true,false,true,false,false,false
285,Paddie,Weathey,27,Male,7.75,3.91,9.85,3.48,0.14,0.31,0.17,0.45,0.77,0.02,otro,grupos de estudio,6,false,false,true,true,true,false,true,true
286,Janot,Duckerin,30,Female,5.87,1.17,8.38,2.65,4.62,0.35,0.39,0.45,0.31,0.31,Lectura/Escritura,Toma de apuntes,1,false,true,false,false,true,false,true,true
287,Derward,MacKeever,25,Male,0.68,4.73,8.31,9.57,4.16,0.03,0.15,0.85,0.59,0.92,Multimodal,resúmenes,2,false,false,false,true,true,false,true,false
288,Currey,Jeens,22,Male,3.43,9.26,3.55,5.76,6.98,0.47,0.63,0.68,0.53,0.86,Lectura/Escritura,grupos de estudio,4,true,false,false,true,false,true,false,false
289,Larry,Loney,27,Male,6.15,7.79,1.96,6.98,6.28,0.51,0.33,0.37,0.8,0.23,otro,otro,7,false,true,false,true,false,true,false,false
290,Derril,Elstone,27,Male,7.92,5.7,5.98,5.0,7.83,0.6,0.19,0.32,0.36,0.72,auditivo,Toma de apuntes,0,true,false,true,true,true,true,false,true
291,Orsola,Bannerman,32,Female,4.16,3.77,3.24,8.93,2.93,0.97,0.81,0.75,0.58,0.57,Multimodal,grupos de estudio,4,false,false,true,true,true,false,false,true
292,Mordecai,Swinnard,36,Male,6.85,5.56,0.15,0.12,0.13,0.39,0.87,0.57,0.81,0.58,auditivo,grupos de estudio,1,false,false,false,true,true,true,false,false
293,Alvina,Gobel,40,Female,3.94,3.76,0.69,8.26,3.23,0.74,0.17,0.71,0.46,0.01,kinestésico,lectura activa,0,true,true,false,false,false,false,true,true
294,Edsel,Bengle,33,Male,0.33,6.04,4.41,1.32,5.21,0.96,0.4,0.22,0.55,0.25,Lectura/Escritura,grupos de estudio,8,false,false,true,true,false,true,true,false
295,Manny,Cutsforth,38,Male,0.92,5.83,3.14,8.33,9.56,0.61,0.01,0.01,0.66,0.84,auditivo,autoevaluación y pruebas prácticas,1,true,false,true,false,false,false,false,false
296,Morton,O'Crevan,23,Male,0.48,2.03,3.79,3.32,8.81,0.39,0.87,0.85,0.42,0.36,otro,técnica Pomodoro,7,false,true,true,true,true,false,true,false
297,Irma,Harrhy,31,Female,9.74,7.39,7.33,1.04,5.31,0.35,0.18,0.81,0.5,0.19,otro,otro,4,true,false,false,true,true,false,true,true
298,Babara,Pepineaux,35,Female,4.04,7.0,3.54,2.52,5.54,0.56,0.08,0.46,0.48,0.93,otro,mapas mentales,7,true,true,true,false,true,false,false,true
299,Frank,Rizzardini,22,Male,6.99,5.22,3.7,8.66,2.12,0.39,0.9,0.1,0.84,0.24,Multimodal,mapas mentales,5,false,false,false,false,false,true,true,true
300,Quill,O'Kuddyhy,35,Male,1.77,3.99,2.99,8.99,5.04,0.86,0.32,0.32,0.35,0.66,Lectura/Escritura,técnica Pomodoro,0,false,true,true,true,false,false,true,true
301,Marijo,Kennet,38,Female,6.51,7.41,0.18,1.79,3.47,0.62,0.78,0.6,0.05,0.29,kinestésico,flashcards,1,true,true,false,false,false,true,true,false
302,Ignacius,Pilger,28,Male,2.36,1.9,3.48,2.29,7.39,0.62,0.41,0.56,0.75,0.01,Multimodal,uso de tecnología,5,false,true,false,true,false,true,false,true
303,Sigfrid,Newcomb,20,Male,5.13,2.04,4.05,7.53,2.9,0.61,0.15,0.08,0.4,0.99,kinestésico,mapas mentales,6,true,true,false,false,false,false,false,true
304,Germaine,Maybey,25,Male,4.44,2.99,7.11,0.89,5.4,0.73,0.35,0.71,0.59,0.86,visual,autoevaluación y pruebas prácticas,8,false,true,true,true,false,false,false,false
305,Ula,Purkiss,21,Female,6.03,4.59,4.92,1.89,8.83,0.33,0.73,0.41,0.11,0.0,Lectura/Escritura,enseñanza a otros,5,true,false,false,false,true,true,false,false
306,Chiquia,Newbold,32,Female,9.38,9.97,1.95,5.26,1.26,0.24,0.97,0.85,0.95,0.84,visual,otro,5,false,false,true,false,true,true,false,false
307,Javier,Whitwham,18,Male,3.37,6.04,0.68,9.63,7.29,0.81,0.28,0.49,0.89,0.23,kinestésico,flashcards,5,false,false,false,true,true,false,false,true
